bank_name,period,n_firms,firms,n_firms_savings,firms_savings,n_firms_borrowing,firms_borrowing,n_firms_payments,firms_payments,n_firms_credit_cards,firms_credit_cards
Central Bank of Kansas City,2023-H1,1,Payactiv,0,,0,,1,Payactiv,0,
Central Bank of Kansas City,2023-H2,1,Payactiv,0,,0,,0,,0,
Central Bank of Kansas City,2024-H1,1,Payactiv,0,,0,,1,Payactiv,0,
Central Bank of Kansas City,2024-H2,1,Payactiv,0,,0,,1,Payactiv,0,
Central Bank of Kansas City,2025-H1,1,Payactiv,0,,0,,1,Payactiv,0,
Central Bank of Kansas City,2025-H2,1,Payactiv,0,,0,,0,,0,
Central Bank of Kansas City,2026-H1,1,Payactiv,0,,0,,0,,0,
Chase Bank,2020-H1,1,Workiz,0,,0,,1,Workiz,0,
Chase Bank,2020-H2,1,Workiz,0,,0,,1,Workiz,0,
Chase Bank,2021-H1,1,Workiz,0,,0,,1,Workiz,0,
Chase Bank,2021-H2,1,Workiz,0,,0,,1,Workiz,0,
